ID,Artists,Streams
1,"Imagine Dragons, Lil Wayne, Logic, Ty Dolla $ign, Wiz Khalifa, X Ambassadors",86427524
2,"Crissin, J Balvin, KAROL G, Natan & Shander, Nicky Jam, Totoy El Frio",152900986
3,"Beéle, DJ Luian, Darell, Maluma, Mambo Kingz, Rauw Alejandro",78581263
4,"Bad Bunny, Casper Magico, Darell, Nicky Jam, Nio Garcia, Ozuna",580565818
5,"Casper Magico, Flow La Movie, Myke Towers, Nio Garcia, Ozuna, Wisin & Yandel",62302341
6,"Duki, KHEA, LIT killah, Maria Becerra, Rusherking, Tiago PZK",32429756
7,"Dalex, Farruko, Justin Quiles, Lenny Tavárez, NATTI NATASHA, Zion",119781316
8,"Dímelo Flow, Farruko, Lunay, Nicky Jam, Sech, Zion",69496831
9,"Anuel AA, Brytiago, DJ Luian, Darell, Mambo Kingz, Nicky Jam",267074325
10,"Almighty, Bad Bunny, DJ Luian, Mambo Kingz, Ozuna, Wisin",135069082
11,"Bryant Myers, Chencho Corleone, Dalex, KEVVO, Lyanno, Rauw Alejandro",41796659
12,"Feid, J Balvin, Justin Quiles, Maluma, Nicky Jam, Sech",104092101
13,"Arijit Singh, Kumaar, Shekhar Ravjiani, Sukriti Kakar, Vishal Dadlani, Vishal-Shekhar",16409919
14,"Caralisa Monteiro, Kumaar, Shekhar Ravjiani, Shilpa Rao, Vishal Dadlani, Vishal-Shekhar",15238334
15,"Anitta, Dalex, Farruko, Justin Quiles, Lenny Tavárez, NATTI NATASHA",95205599
16,"Dalex, Feid, Justin Quiles, Lenny Tavárez, Rich Music LTD, Sech",50065370
17,"Fast & Furious: The Fast Saga, JVKE, Jimin, Kodak Black, Muni Long, NLE Choppa",101831542
18,"GRiNGO, Gzuz, KITSCHKRIEG, SFR, Trettmann, Ufo361",8440805
19,"DJ Khaled, Fridayy, JAY-Z, John Legend, Lil Wayne, Rick Ross",6933872
20,"Bas, Dreamville, EARTHGANG, J. Cole, JID, Young Nudy",12180808
21,"Arca, Arcángel, Jhayco, Myke Towers, Omar Courtz, Tainy",18375223
22,"Brytiago, Cauty, Chencho Corleone, Cosculluela, Darell, Rafa Pabön",4458066
23,"Dido, Dimitri Vegas, Dimitri Vegas & Like Mike, Like Mike, Tiësto, W&W",8412394
24,"4*TOWN (From Disney and Pixar’s Turning Red), Finneas O'Connell, Grayson Villanueva, Jordan Fisher, Josh Levi, Topher Ngo",24086388
